CO2 (ppm),Temperature (°C),Relative humidity (%RH),CH4 (ppm),Timestamp,Chamber (N)
409,20.98,63.08,0,2026/8/24 13:50,Batch 1 · Blank (0)
410,20.94,62.71,0,2026/8/24 13:51,Batch 1 · Blank (0)
408,20.91,62.95,0,2026/8/24 13:52,Batch 1 · Blank (0)
405,21.03,62.98,0,2026/8/24 13:53,Batch 1 · Blank (0)
405,20.97,62.62,0,2026/8/24 13:54,Batch 1 · Blank (0)
403,21.03,62.57,0,2026/8/24 13:55,Batch 1 · Blank (0)
402,21.09,62.61,0,2026/8/24 13:56,Batch 1 · Blank (0)
403,21.09,61.91,0,2026/8/24 13:57,Batch 1 · Blank (0)
402,21.09,62.55,0,2026/8/24 13:58,Batch 1 · Blank (0)
402,21.05,61.94,0,2026/8/24 13:59,Batch 1 · Blank (0)
401,21,61.9,0,2026/8/24 14:00,Batch 1 · Blank (0)
399,21.01,61.51,0,2026/8/24 14:01,Batch 1 · Blank (0)
398,20.98,60.76,0,2026/8/24 14:02,Batch 1 · Blank (0)
398,20.93,59.64,0,2026/8/24 14:03,Batch 1 · Blank (0)
397,20.88,60.4,0,2026/8/24 14:04,Batch 1 · Blank (0)
397,20.81,60.19,0,2026/8/24 14:05,Batch 1 · Blank (0)
394,20.88,62.9,0,2026/8/24 14:06,Batch 1 · Blank (0)
392,20.97,64.48,0,2026/8/24 14:07,Batch 1 · Blank (0)
390,21.09,65.74,0,2026/8/24 14:08,Batch 1 · Blank (0)
390,21.14,67.13,0,2026/8/24 14:09,Batch 1 · Blank (0)
390,21.26,67.69,0,2026/8/24 14:10,Batch 1 · Blank (0)
387,21.47,67.67,0,2026/8/24 14:11,Batch 1 · Blank (0)
387,21.61,66.55,0,2026/8/24 14:12,Batch 1 · Blank (0)
387,21.63,65.72,0,2026/8/24 14:13,Batch 1 · Blank (0)
388,21.51,66.5,0,2026/8/24 14:14,Batch 1 · Blank (0)
388,21.51,67.16,0,2026/8/24 14:15,Batch 1 · Blank (0)
389,21.57,68.39,0,2026/8/24 14:16,Batch 1 · Blank (0)
392,21.73,69.07,0,2026/8/24 14:17,Batch 1 · Blank (0)
392,21.91,70.06,0,2026/8/24 14:18,Batch 1 · Blank (0)
393,22.07,69.83,0,2026/8/24 14:19,Batch 1 · Blank (0)
401,22.17,69.15,0,2026/8/24 14:20,Batch 1 · Blank (0)
406,22.23,67.95,0,2026/8/24 14:21,Batch 1 · Blank (0)
409,22.27,66.66,0,2026/8/24 14:22,Batch 1 · Blank (0)
411,22.31,65.43,0,2026/8/24 14:23,Batch 1 · Blank (0)
417,22.29,63.99,0,2026/8/24 14:24,Batch 1 · Blank (0)
420,22.29,63.49,0,2026/8/24 14:25,Batch 1 · Blank (0)
422,22.27,62.72,0,2026/8/24 14:26,Batch 1 · Blank (0)
424,22.27,61.79,0,2026/8/24 14:27,Batch 1 · Blank (0)
426,22.25,60.86,0,2026/8/24 14:28,Batch 1 · Blank (0)
428,22.23,61.68,0,2026/8/24 14:29,Batch 1 · Blank (0)
427,22.07,62.91,0,2026/8/24 14:30,Batch 1 · Blank (0)
429,21.97,63.73,0,2026/8/24 14:31,Batch 1 · Blank (0)
428,21.87,63.69,0,2026/8/24 14:32,Batch 1 · Blank (0)
425,21.85,64.66,0,2026/8/24 14:33,Batch 1 · Blank (0)
424,21.82,65.18,0,2026/8/24 14:34,Batch 1 · Blank (0)
425,21.71,65.55,0,2026/8/24 14:35,Batch 1 · Blank (0)
427,21.64,66.57,0,2026/8/24 14:36,Batch 1 · Blank (0)
427,21.57,66.66,0,2026/8/24 14:37,Batch 1 · Blank (0)
427,21.57,66.28,0,2026/8/24 14:38,Batch 1 · Blank (0)
427,21.59,65.73,0,2026/8/24 14:39,Batch 1 · Blank (0)
425,21.57,65.53,0,2026/8/24 14:40,Batch 1 · Blank (0)
427,21.6,66,0,2026/8/24 14:41,Batch 1 · Blank (0)
427,21.61,65.62,0,2026/8/24 14:42,Batch 1 · Blank (0)
425,21.67,64.67,0,2026/8/24 14:43,Batch 1 · Blank (0)
424,21.77,64.6,0,2026/8/24 14:44,Batch 1 · Blank (0)
423,21.77,64.46,0,2026/8/24 14:45,Batch 1 · Blank (0)
424,21.73,64.15,0,2026/8/24 14:47,Batch 1 · Blank (0)
426,21.61,63.79,0,2026/8/24 14:48,Batch 1 · Blank (0)
426,21.57,63.85,0,2026/8/24 14:49,Batch 1 · Blank (0)
426,21.56,63.74,0,2026/8/24 14:50,Batch 1 · Blank (0)
424,21.54,63.12,0,2026/8/24 14:51,Batch 1 · Blank (0)
426,21.44,62.74,0,2026/8/24 14:52,Batch 1 · Blank (0)
427,21.35,62.44,0,2026/8/24 14:53,Batch 1 · Blank (0)
427,21.22,62.76,0,2026/8/24 14:54,Batch 1 · Blank (0)
426,21.12,62.29,0,2026/8/24 14:55,Batch 1 · Blank (0)
425,21.07,62.25,0,2026/8/24 14:56,Batch 1 · Blank (0)
424,21.12,62.35,0,2026/8/24 14:57,Batch 1 · Blank (0)
423,21.09,61.93,0,2026/8/24 14:58,Batch 1 · Blank (0)
423,21.07,61.58,0,2026/8/24 14:59,Batch 1 · Blank (0)
426,20.93,61.44,0,2026/8/24 15:00,Batch 1 · Blank (0)
424,20.86,61.67,0,2026/8/24 15:01,Batch 1 · Blank (0)
424,20.83,61.77,0,2026/8/24 15:02,Batch 1 · Blank (0)
422,20.77,61.85,0,2026/8/24 15:03,Batch 1 · Blank (0)
420,20.72,61.33,0,2026/8/24 15:04,Batch 1 · Blank (0)
420,20.68,61.7,0,2026/8/24 15:05,Batch 1 · Blank (0)
421,20.62,61.37,0,2026/8/24 15:06,Batch 1 · Blank (0)
421,20.63,61.2,0,2026/8/24 15:07,Batch 1 · Blank (0)
420,20.63,61.59,0,2026/8/24 15:08,Batch 1 · Blank (0)
416,20.63,61.63,0,2026/8/24 15:09,Batch 1 · Blank (0)
416,20.69,61.81,0,2026/8/24 15:10,Batch 1 · Blank (0)
416,20.74,60.66,0,2026/8/24 15:11,Batch 1 · Blank (0)
415,20.48,59.76,0,2026/8/24 15:12,Batch 1 · Blank (0)
415,20.35,61.67,0,2026/8/24 15:13,Batch 1 · Blank (0)
416,20.42,62.04,0,2026/8/24 15:14,Batch 1 · Blank (0)
413,20.53,63.3,0,2026/8/24 15:15,Batch 1 · Blank (0)
410,20.65,63.38,0,2026/8/24 15:16,Batch 1 · Blank (0)
410,20.79,63.16,0,2026/8/24 15:17,Batch 1 · Blank (0)
410,20.95,63.36,0,2026/8/24 15:18,Batch 1 · Blank (0)
409,21.07,63.62,0,2026/8/24 15:19,Batch 1 · Blank (0)
409,21.09,63.16,0,2026/8/24 15:20,Batch 1 · Blank (0)
409,21.17,63.55,0,2026/8/24 15:21,Batch 1 · Blank (0)
410,21.24,63.54,0,2026/8/24 15:22,Batch 1 · Blank (0)
407,21.32,64.01,0,2026/8/24 15:23,Batch 1 · Blank (0)
407,21.4,64.18,0,2026/8/24 15:24,Batch 1 · Blank (0)
408,21.49,63.58,0,2026/8/24 15:25,Batch 1 · Blank (0)
409,21.61,63.38,0,2026/8/24 15:26,Batch 1 · Blank (0)
409,21.7,63.19,0,2026/8/24 15:27,Batch 1 · Blank (0)
410,21.75,63.46,0,2026/8/24 15:28,Batch 1 · Blank (0)
413,21.77,64.71,0,2026/8/24 15:29,Batch 1 · Blank (0)
413,21.68,64.89,0,2026/8/24 15:30,Batch 1 · Blank (0)
414,21.56,64.84,0,2026/8/24 15:31,Batch 1 · Blank (0)
415,21.43,64.67,0,2026/8/24 15:32,Batch 1 · Blank (0)
415,21.22,65.37,0,2026/8/24 15:33,Batch 1 · Blank (0)
417,21.19,65.53,0,2026/8/24 15:34,Batch 1 · Blank (0)
415,21.19,65.3,0,2026/8/24 15:35,Batch 1 · Blank (0)
416,21.22,65.22,0,2026/8/24 15:36,Batch 1 · Blank (0)
415,21.26,65.01,0,2026/8/24 15:37,Batch 1 · Blank (0)
415,21.35,64.61,0,2026/8/24 15:38,Batch 1 · Blank (0)
413,21.47,64.41,0,2026/8/24 15:39,Batch 1 · Blank (0)
410,21.4,64.69,0,2026/8/24 15:40,Batch 1 · Blank (0)
413,21.33,64.85,0,2026/8/24 15:41,Batch 1 · Blank (0)
413,21.36,65.13,0,2026/8/24 15:42,Batch 1 · Blank (0)
411,21.4,64.67,0,2026/8/24 15:43,Batch 1 · Blank (0)
412,21.32,64.18,0,2026/8/24 15:44,Batch 1 · Blank (0)
412,21.28,65.82,0,2026/8/24 15:45,Batch 1 · Blank (0)
412,21.38,65.86,0,2026/8/24 15:46,Batch 1 · Blank (0)
411,21.47,64.63,0,2026/8/24 15:47,Batch 1 · Blank (0)
412,21.53,64.58,0,2026/8/24 15:48,Batch 1 · Blank (0)
414,21.57,64.9,0,2026/8/24 15:49,Batch 1 · Blank (0)
415,21.56,65.21,0,2026/8/24 15:50,Batch 1 · Blank (0)
416,21.46,65.85,0,2026/8/24 15:51,Batch 1 · Blank (0)
419,21.38,66.42,0,2026/8/24 15:52,Batch 1 · Blank (0)
418,21.47,66.76,0,2026/8/24 15:53,Batch 1 · Blank (0)
418,21.5,66.85,0,2026/8/24 15:54,Batch 1 · Blank (0)
422,21.5,66.56,0,2026/8/24 15:55,Batch 1 · Blank (0)
422,21.54,66.8,0,2026/8/24 15:56,Batch 1 · Blank (0)
420,21.59,66.76,0,2026/8/24 15:57,Batch 1 · Blank (0)
421,21.6,67.01,0,2026/8/24 15:58,Batch 1 · Blank (0)
421,21.63,67.09,0,2026/8/24 15:59,Batch 1 · Blank (0)
421,21.63,67.02,0,2026/8/24 16:00,Batch 1 · Blank (0)
424,21.6,66.22,0,2026/8/24 16:01,Batch 1 · Blank (0)
427,21.53,67.32,0,2026/8/24 16:02,Batch 1 · Blank (0)
426,21.63,67.49,0,2026/8/24 16:03,Batch 1 · Blank (0)
426,21.7,67.17,0,2026/8/24 16:04,Batch 1 · Blank (0)
425,21.74,67.05,0,2026/8/24 16:05,Batch 1 · Blank (0)
426,21.75,66.48,0,2026/8/24 16:06,Batch 1 · Blank (0)
429,21.7,66.43,0,2026/8/24 16:07,Batch 1 · Blank (0)
428,21.71,66.04,0,2026/8/24 16:08,Batch 1 · Blank (0)
430,21.71,65.58,0,2026/8/24 16:09,Batch 1 · Blank (0)
434,21.66,65.85,0,2026/8/24 16:10,Batch 1 · Blank (0)
434,21.54,65.41,0,2026/8/24 16:11,Batch 1 · Blank (0)
434,21.4,63.11,0,2026/8/24 16:12,Batch 1 · Blank (0)
436,21.25,63.63,0,2026/8/24 16:13,Batch 1 · Blank (0)
437,21.18,64.08,0,2026/8/24 16:14,Batch 1 · Blank (0)
436,21.21,64.16,0,2026/8/24 16:15,Batch 1 · Blank (0)
437,21.19,63.8,0,2026/8/24 16:16,Batch 1 · Blank (0)
440,21.19,64.36,0,2026/8/24 16:17,Batch 1 · Blank (0)
440,21.21,64,0,2026/8/24 16:18,Batch 1 · Blank (0)
441,21.15,64.44,0,2026/8/24 16:19,Batch 1 · Blank (0)
443,21.21,64.2,0,2026/8/24 16:20,Batch 1 · Blank (0)
442,21.21,64.83,0,2026/8/24 16:21,Batch 1 · Blank (0)
443,21.29,64.99,0,2026/8/24 16:22,Batch 1 · Blank (0)
446,21.25,64.22,0,2026/8/24 16:23,Batch 1 · Blank (0)
448,21.22,64.8,0,2026/8/24 16:24,Batch 1 · Blank (0)
449,21.28,65.5,0,2026/8/24 16:25,Batch 1 · Blank (0)
447,21.32,66.44,0,2026/8/24 16:26,Batch 1 · Blank (0)
445,21.47,67.06,0,2026/8/24 16:27,Batch 1 · Blank (0)
441,21.53,66.77,0,2026/8/24 16:28,Batch 1 · Blank (0)
438,21.5,66.85,0,2026/8/24 16:29,Batch 1 · Blank (0)
436,21.49,66.88,0,2026/8/24 16:30,Batch 1 · Blank (0)
435,21.5,67.54,0,2026/8/24 16:31,Batch 1 · Blank (0)
434,21.54,67.38,0,2026/8/24 16:32,Batch 1 · Blank (0)
428,21.63,67.72,0,2026/8/24 16:33,Batch 1 · Blank (0)
424,21.8,67.68,0,2026/8/24 16:34,Batch 1 · Blank (0)
419,21.95,67.43,0,2026/8/24 16:35,Batch 1 · Blank (0)
416,22.03,66.42,0,2026/8/24 16:36,Batch 1 · Blank (0)
417,22.13,66.32,0,2026/8/24 16:37,Batch 1 · Blank (0)
414,22.26,66.14,0,2026/8/24 16:38,Batch 1 · Blank (0)
414,22.34,65.91,0,2026/8/24 16:39,Batch 1 · Blank (0)
411,22.44,65.17,0,2026/8/24 16:40,Batch 1 · Blank (0)
409,22.44,65.04,0,2026/8/24 16:41,Batch 1 · Blank (0)
408,22.45,64.86,0,2026/8/24 16:42,Batch 1 · Blank (0)
407,22.5,64.73,0,2026/8/24 16:43,Batch 1 · Blank (0)
405,22.55,65.43,0,2026/8/24 16:44,Batch 1 · Blank (0)
403,22.61,64.91,0,2026/8/24 16:45,Batch 1 · Blank (0)
402,22.61,63.66,0,2026/8/24 16:46,Batch 1 · Blank (0)
405,22.64,62.66,0,2026/8/24 16:47,Batch 1 · Blank (0)
407,22.57,61.03,0,2026/8/24 16:48,Batch 1 · Blank (0)
408,22.54,61.32,0,2026/8/24 16:49,Batch 1 · Blank (0)
407,22.51,60.67,0,2026/8/24 16:50,Batch 1 · Blank (0)
405,22.5,59.95,0,2026/8/24 16:51,Batch 1 · Blank (0)
407,22.45,59.49,0,2026/8/24 16:53,Batch 1 · Blank (0)
406,22.45,59.89,0,2026/8/24 16:54,Batch 1 · Blank (0)
406,22.26,60.86,0,2026/8/24 16:55,Batch 1 · Blank (0)
408,21.98,62.65,0,2026/8/24 16:56,Batch 1 · Blank (0)
411,21.81,64.49,0,2026/8/24 16:57,Batch 1 · Blank (0)
406,21.73,65.36,0,2026/8/24 16:58,Batch 1 · Blank (0)
406,21.8,65.73,0,2026/8/24 16:59,Batch 1 · Blank (0)
405,21.88,65.15,0,2026/8/24 17:00,Batch 1 · Blank (0)
403,21.92,65.53,0,2026/8/24 17:01,Batch 1 · Blank (0)
407,21.95,65.85,0,2026/8/24 17:02,Batch 1 · Blank (0)
407,21.91,65.99,0,2026/8/24 17:03,Batch 1 · Blank (0)
404,21.91,65.44,0,2026/8/24 17:04,Batch 1 · Blank (0)
402,21.94,65.35,0,2026/8/24 17:05,Batch 1 · Blank (0)
405,21.89,64.78,0,2026/8/24 17:06,Batch 1 · Blank (0)
404,21.8,64.45,0,2026/8/24 17:07,Batch 1 · Blank (0)
404,21.7,64.39,0,2026/8/24 17:08,Batch 1 · Blank (0)
405,21.68,64.4,0,2026/8/24 17:09,Batch 1 · Blank (0)
404,21.66,63.9,0,2026/8/24 17:10,Batch 1 · Blank (0)
404,21.56,64.63,0,2026/8/24 17:11,Batch 1 · Blank (0)
404,21.43,64.51,0,2026/8/24 17:12,Batch 1 · Blank (0)
404,21.33,64.83,0,2026/8/24 17:13,Batch 1 · Blank (0)
402,21.38,62.97,0,2026/8/24 17:14,Batch 1 · Blank (0)
401,21.33,62.9,0,2026/8/24 17:15,Batch 1 · Blank (0)
402,21.38,62.97,0,2026/8/24 17:16,Batch 1 · Blank (0)
401,21.43,62.46,0,2026/8/24 17:17,Batch 1 · Blank (0)
399,21.44,62.44,0,2026/8/24 17:18,Batch 1 · Blank (0)
400,21.51,62.46,0,2026/8/24 17:19,Batch 1 · Blank (0)
399,21.64,62.43,0,2026/8/24 17:20,Batch 1 · Blank (0)
400,21.66,62.36,0,2026/8/24 17:21,Batch 1 · Blank (0)
403,21.47,62.64,0,2026/8/24 17:22,Batch 1 · Blank (0)
402,21.39,63.68,0,2026/8/24 17:23,Batch 1 · Blank (0)
401,21.43,63.97,0,2026/8/24 17:24,Batch 1 · Blank (0)
399,21.51,64.37,0,2026/8/24 17:25,Batch 1 · Blank (0)
399,21.5,64.54,0,2026/8/24 17:26,Batch 1 · Blank (0)
401,21.47,64.39,0,2026/8/24 17:27,Batch 1 · Blank (0)
401,21.33,65.06,0,2026/8/24 17:28,Batch 1 · Blank (0)
403,21.18,65.8,0,2026/8/24 17:29,Batch 1 · Blank (0)
404,21.21,66.34,0,2026/8/24 17:30,Batch 1 · Blank (0)
402,21.35,66.49,0,2026/8/24 17:31,Batch 1 · Blank (0)
402,21.32,66.84,0,2026/8/24 17:32,Batch 1 · Blank (0)
403,21.36,66.98,0,2026/8/24 17:33,Batch 1 · Blank (0)
402,21.46,67.24,0,2026/8/24 17:34,Batch 1 · Blank (0)
400,21.47,68.06,0,2026/8/24 17:35,Batch 1 · Blank (0)
400,21.47,68.06,0,2026/8/24 17:36,Batch 1 · Blank (0)
398,21.5,68.44,0,2026/8/24 17:37,Batch 1 · Blank (0)
396,21.51,68.66,0,2026/8/24 17:38,Batch 1 · Blank (0)
396,21.53,68.76,0,2026/8/24 17:39,Batch 1 · Blank (0)
398,21.51,69.15,0,2026/8/24 17:40,Batch 1 · Blank (0)
396,21.54,69.23,0,2026/8/24 17:41,Batch 1 · Blank (0)
396,21.51,69.19,0,2026/8/24 17:42,Batch 1 · Blank (0)
395,21.5,69.5,0,2026/8/24 17:43,Batch 1 · Blank (0)
392,21.54,69.77,0,2026/8/24 17:44,Batch 1 · Blank (0)
390,21.64,69.71,0,2026/8/24 17:45,Batch 1 · Blank (0)
390,21.67,69.01,0,2026/8/24 17:46,Batch 1 · Blank (0)
390,21.63,69.32,0,2026/8/24 17:47,Batch 1 · Blank (0)
390,21.56,69.23,0,2026/8/24 17:48,Batch 1 · Blank (0)
392,21.56,69.54,0,2026/8/24 17:49,Batch 1 · Blank (0)
391,21.59,69.92,0,2026/8/24 17:50,Batch 1 · Blank (0)
391,21.6,69.31,0,2026/8/24 17:51,Batch 1 · Blank (0)
393,21.57,70.14,0,2026/8/24 17:52,Batch 1 · Blank (0)
394,21.6,69.68,0,2026/8/24 17:53,Batch 1 · Blank (0)
395,21.67,69.82,0,2026/8/24 17:54,Batch 1 · Blank (0)
394,21.67,69.75,0,2026/8/24 17:55,Batch 1 · Blank (0)
393,21.73,70.02,0,2026/8/24 17:56,Batch 1 · Blank (0)
393,21.75,69.92,0,2026/8/24 17:57,Batch 1 · Blank (0)
395,21.81,69.93,0,2026/8/24 17:58,Batch 1 · Blank (0)
394,21.87,69.44,0,2026/8/24 17:59,Batch 1 · Blank (0)
393,21.89,69.23,0,2026/8/24 18:00,Batch 1 · Blank (0)
394,21.84,68.81,0,2026/8/24 18:01,Batch 1 · Blank (0)
394,21.87,68.87,0,2026/8/24 18:02,Batch 1 · Blank (0)
394,21.81,68.08,0,2026/8/24 18:03,Batch 1 · Blank (0)
396,21.8,67.93,0,2026/8/24 18:04,Batch 1 · Blank (0)
397,21.75,67.71,0,2026/8/24 18:05,Batch 1 · Blank (0)
397,21.74,66.67,0,2026/8/24 18:06,Batch 1 · Blank (0)
397,21.7,66.8,0,2026/8/24 18:07,Batch 1 · Blank (0)
398,21.63,66.21,0,2026/8/24 18:08,Batch 1 · Blank (0)
401,21.54,66.41,0,2026/8/24 18:09,Batch 1 · Blank (0)
399,21.54,65.93,0,2026/8/24 18:10,Batch 1 · Blank (0)
403,21.49,65.62,0,2026/8/24 18:11,Batch 1 · Blank (0)
404,21.5,64.87,0,2026/8/24 18:12,Batch 1 · Blank (0)
404,21.49,64.75,0,2026/8/24 18:13,Batch 1 · Blank (0)
406,21.39,61.72,0,2026/8/24 18:14,Batch 1 · Blank (0)
411,21.14,63.42,0,2026/8/24 18:15,Batch 1 · Blank (0)
413,20.97,64.62,0,2026/8/24 18:16,Batch 1 · Blank (0)
414,20.98,65.07,0,2026/8/24 18:17,Batch 1 · Blank (0)
413,21.07,65.53,0,2026/8/24 18:18,Batch 1 · Blank (0)
413,21.22,65.82,0,2026/8/24 18:19,Batch 1 · Blank (0)
416,21.24,65.64,0,2026/8/24 18:20,Batch 1 · Blank (0)
417,21.25,65.82,0,2026/8/24 18:21,Batch 1 · Blank (0)
418,21.29,66.17,0,2026/8/24 18:22,Batch 1 · Blank (0)
418,21.35,66.86,0,2026/8/24 18:23,Batch 1 · Blank (0)
417,21.43,66.87,0,2026/8/24 18:24,Batch 1 · Blank (0)
421,21.43,66.86,0,2026/8/24 18:25,Batch 1 · Blank (0)
424,21.43,66.84,0,2026/8/24 18:26,Batch 1 · Blank (0)
422,21.49,67.63,0,2026/8/24 18:27,Batch 1 · Blank (0)
421,21.54,67.74,0,2026/8/24 18:28,Batch 1 · Blank (0)
421,21.66,68.12,0,2026/8/24 18:29,Batch 1 · Blank (0)
422,21.74,67.72,0,2026/8/24 18:30,Batch 1 · Blank (0)
425,21.74,67.46,0,2026/8/24 18:31,Batch 1 · Blank (0)
428,21.7,67.3,0,2026/8/24 18:32,Batch 1 · Blank (0)
431,21.67,67.49,0,2026/8/24 18:33,Batch 1 · Blank (0)
431,21.68,67.88,0,2026/8/24 18:34,Batch 1 · Blank (0)
428,21.78,68.03,0,2026/8/24 18:35,Batch 1 · Blank (0)
431,21.75,67.61,0,2026/8/24 18:36,Batch 1 · Blank (0)
436,21.73,67.61,0,2026/8/24 18:37,Batch 1 · Blank (0)
437,21.77,67.73,0,2026/8/24 18:38,Batch 1 · Blank (0)
435,21.77,67.29,0,2026/8/24 18:39,Batch 1 · Blank (0)
435,21.73,66.91,0,2026/8/24 18:40,Batch 1 · Blank (0)
437,21.74,66.96,0,2026/8/24 18:42,Batch 1 · Blank (0)
437,21.71,66.76,0,2026/8/24 18:43,Batch 1 · Blank (0)
439,21.67,66.1,0,2026/8/24 18:44,Batch 1 · Blank (0)
440,21.6,66.04,0,2026/8/24 18:45,Batch 1 · Blank (0)
441,21.6,65.3,0,2026/8/24 18:46,Batch 1 · Blank (0)
441,21.57,65.3,0,2026/8/24 18:47,Batch 1 · Blank (0)
439,21.54,65.14,0,2026/8/24 18:48,Batch 1 · Blank (0)
440,21.51,64.34,0,2026/8/24 18:49,Batch 1 · Blank (0)
442,21.44,64.72,0,2026/8/24 18:50,Batch 1 · Blank (0)
447,21.47,65.11,0,2026/8/24 18:51,Batch 1 · Blank (0)
450,21.53,64.49,0,2026/8/24 18:52,Batch 1 · Blank (0)
445,21.4,64.94,0,2026/8/24 18:53,Batch 1 · Blank (0)
444,21.36,64.84,0,2026/8/24 18:54,Batch 1 · Blank (0)
445,21.29,65.12,0,2026/8/24 18:55,Batch 1 · Blank (0)
447,21.25,64.49,0,2026/8/24 18:56,Batch 1 · Blank (0)
447,21.17,64.68,0,2026/8/24 18:57,Batch 1 · Blank (0)
446,21.15,66.13,0,2026/8/24 18:58,Batch 1 · Blank (0)
443,21.18,66.98,0,2026/8/24 18:59,Batch 1 · Blank (0)
442,21.22,67.19,0,2026/8/24 19:00,Batch 1 · Blank (0)
443,21.22,66.95,0,2026/8/24 19:01,Batch 1 · Blank (0)
442,21.24,67.78,0,2026/8/24 19:02,Batch 1 · Blank (0)
440,21.26,67.8,0,2026/8/24 19:03,Batch 1 · Blank (0)
